Average Background Z score for each TF. Number of replicates: 100
TF_name	BG Z score
Ebf2	1.13120797374
Tcf21	0.309487177955
REST	0.00291265151002
SOX2	1.33001906336
ETV3	6.69790905625
ZNF684	0.000578970272191
KLF17	27.7486046705
NFE2	0.000202414720537
PLAGL2	3.19940782903
RFX7	139.705949664
ATF7	6.51613292475e-05
Hmx3	28.875061104
Zic2	10.6243617931
MEIS2	0.146469953244
Dmbx1	3.08022853164
JDP2	0.247573343755
TFAP2B	0.562186350231
SMAD3	0.0311182866418
CREB3L4	18.7065442176
Zfx	276.670517318
NKX2-2	1.10480586449
NR2C2(var.2)	73.5980744519
Esrrg	0.0131004825649
FOXA1	9.11462210317
NEUROG1	4.53547060039
THRB(var.3)	0.00724671299456
Pparg::Rxra	636.740180495
NR2F1	0.0339044988202
JUND(var.2)	9.859217961e-07
TBX19	14.5376813311
HOXD9	0.00374860604004
SREBF1(var.2)	0.233237461693
LHX9	0.389738495307
GBX1	3.74202924501
TBX3	10.4367852572
FOXB1	43.4929966054
JUNB(var.2)	0.0164805757287
PHOX2B	5.57925639894
RARA::RXRG	0.353083577524
ZNF140	0.00967381195034
NR2F2	0.185877967123
TBX18	2.51733921185
ATF2	0.628192044375
EBF3	4.62254212292
Arx	70.0921732236
CDX2	0.607158458817
TCF7L1	86.2476884973
HSF2	1.55311822055
HOXD10	1.84837208741
Arnt	17.4488960812
FEV	3.16775097031
Pax2	34.2486842677
FERD3L	2.05302786194e-05
HOXA5	0.0670730430706
OSR2	9.44753969694
MLX	0.382718059086
Hand1::Tcf3	10.7050062771
TGIF2LX	4.08908552855
ARNT2	0.0590881127586
TFEC	0.0216487867771
ZNF740	0.175493040564
RUNX3	0.949470370535
HOXA10	6.33160341516
JUN	0.0256757659579
PBX3	0.709967955799
ZNF682	31.6837398747
TBX4	53.9431268966
ETS1	0.0155259276498
Sox1	0.00120191015653
STAT3	0.833931467769
HOXB7	2.93007048604
VENTX	0.491890996278
HOXC8	1.44507613819
MEOX1	172.187532108
CEBPG	0.00163933504189
HMBOX1	34.016765993
PRDM4	9.34419243074
SIX2	33.2041154388
HNF4A	6.91044414838
RARA	8.49286700495e-08
NEUROD2	0.791009174285
Hmx2	2.62832813885
FOXP1	96.7194980748
Dlx1	766.08422257
RARA::RXRA	19.8263498502
ELF4	1.55440966418
DMRTC2	29.7006096904
LMX1A	0.0206528993697
NEUROG2	0.00302229718585
OTX1	36.3460170594
TCF3	6.26077145911
IRF9	8.20874314643e-08
PBX1	39.2541943183
NFYB	0.116180487848
NFE2L1	0.00287357926981
BHLHE22	3.05812739517
RFX5	0.000543695173603
TBX15	0.0844353024147
HNF1B	1.6579645784
RARA(var.2)	2.19251636665e-07
Foxj3	2.22848692418
HSF4	0.0146579300463
TEAD2	1.22595847521
REL	46.4551846775
NKX2-8	19.4612077804
LBX1	0.179400708429
TEAD4	24.0386338128
Npas2	0.0288898284196
FOSB::JUNB	0.0998880765186
ETV4	1.66613603238
PAX4	95.7980659764
SOHLH2	61.2117273837
EOMES	0.206126178272
HLF	0.222812557845
KLF15	8.55799299407e-06
RXRA::VDR	14.2454593765
MAF	4.14759386587
Nobox	48.8999306615
MSANTD3	103.991870523
CTCFL	1.5804011378
TP73	0.00214750456028
CEBPG(var.2)	7.93883635518
RHOXF1	63.0249576507
NR1I3	24.4240210697
ESX1	41.8986360524
NFIX	380.404882365
HOXC10	211.185862891
ZBTB7B	0.608597169532
TCF12(var.2)	5.9367142418
POU2F3	0.82291487087
OLIG1	0.0650292522744
